Diaj,ETC0,ND3,ND4,ETC0_cfg2,ND3_cfg2,ND4_cfg2
736330,1687.81709717032,-18.2638986336381,NaN,1687.81709717032,-18.2638986336381,NaN
736330.5,NaN,NaN,NaN,NaN,NaN,NaN
736331,1623.69587301742,3.9742667766518,NaN,1623.69587301742,3.9742667766518,NaN
736331.5,1626.50188450595,2.87454874250579,NaN,1626.50188450595,2.87454874250579,NaN
736332,1602.13671507214,4.66611460294939,NaN,1602.13671507214,4.66611460294939,NaN
736332.5,1625.84421150255,5.74645036079596,NaN,1625.84421150255,5.74645036079596,NaN
736333,1619.27252453488,3.31924417934783,NaN,1619.27252453488,3.31924417934783,NaN
736333.5,NaN,NaN,NaN,NaN,NaN,NaN
736336,1606.84806225166,3.0065613041661,NaN,1606.84806225166,3.0065613041661,NaN
736336.5,1669.65413320371,-9.43324813901995,NaN,1669.65413320371,-9.43324813901995,NaN
736337,1657.57043044153,-12.9457206493169,NaN,1657.57043044153,-12.9457206493169,NaN
736337.5,NaN,NaN,NaN,NaN,NaN,NaN
736338,1643.89901159826,7.1243663944274,NaN,1643.89901159826,7.1243663944274,NaN
736338.5,1620.74929369559,2.69835892035394,NaN,1620.74929369559,2.69835892035394,NaN
736339,NaN,NaN,NaN,NaN,NaN,NaN
736339.5,1666.15655175845,-29.7244788119467,NaN,1666.15655175845,-29.7244788119467,NaN
736340,1643.52972878435,-8.60672653965321,NaN,1643.52972878435,-8.60672653965321,NaN
736340.5,1661.28492356656,-5.09704323531832,NaN,1661.28492356656,-5.09704323531832,NaN
736341,1637.12450019328,8.09271888173726,NaN,1637.12450019328,8.09271888173726,NaN
736341.5,1615.1245332859,8.21916390191291,NaN,1615.1245332859,8.21916390191291,NaN
736342,NaN,NaN,NaN,NaN,NaN,NaN
736342.5,1642.99325651742,-14.0734391949413,NaN,1642.99325651742,-14.0734391949413,NaN
736343,1647.67009538082,8.81631102408573,NaN,1647.67009538082,8.81631102408573,NaN
736343.5,NaN,NaN,NaN,NaN,NaN,NaN
736344,NaN,NaN,NaN,NaN,NaN,NaN
736344.5,1630.02857437019,-3.26182193416753,NaN,1630.02857437019,-3.26182193416753,NaN
736345,NaN,NaN,NaN,NaN,NaN,NaN
736345.5,1694.16687589859,-18.8597484920199,NaN,1694.16687589859,-18.8597484920199,NaN
