Diaj,ETC0,ND3,ND4,ETC0_cfg2,ND3_cfg2,ND4_cfg2
736693,1635.67309068695,-6.57364152506398,NaN,1635.67309068695,-6.57364152506398,NaN
736693.5,NaN,NaN,NaN,NaN,NaN,NaN
736696,1648.10332049015,0.52927677300886,NaN,1648.10332049015,0.52927677300886,NaN
736696.5,1589.61911998314,10.5961945286972,NaN,1589.61911998314,10.5961945286972,NaN
736697,1619.84041836047,5.81321144587423,NaN,1619.84041836047,5.81321144587423,NaN
736697.5,NaN,NaN,NaN,NaN,NaN,NaN
736698,1597.88840223787,4.70320685274464,NaN,1597.88840223787,4.70320685274464,NaN
736698.5,NaN,NaN,NaN,NaN,NaN,NaN
736699,1641.10708902392,0.887722039607979,NaN,1641.10708902392,0.887722039607979,NaN
736699.5,NaN,NaN,NaN,NaN,NaN,NaN
736701,NaN,NaN,NaN,NaN,NaN,NaN
736701.5,1623.06646199476,-19.9133144655161,NaN,1623.06646199476,-19.9133144655161,NaN
736702,1621.5985790087,7.60437315528088,NaN,1621.5985790087,7.60437315528088,NaN
736702.5,1646.80859871843,-3.24562942890566,NaN,1646.80859871843,-3.24562942890566,NaN
736704,1612.72117296787,7.35394556112783,NaN,1612.72117296787,7.35394556112783,NaN
736704.5,NaN,NaN,NaN,NaN,NaN,NaN
736705,1622.38433951675,11.9916600587217,NaN,1622.38433951675,11.9916600587217,NaN
736705.5,1611.33162438258,10.8903179663023,NaN,1611.33162438258,10.8903179663023,NaN
736706,1602.20401057004,11.8545945770152,NaN,1602.20401057004,11.8545945770152,NaN
736706.5,NaN,NaN,NaN,NaN,NaN,NaN
736707,1604.34597533647,0.492603782535298,NaN,1604.34597533647,0.492603782535298,NaN
736707.5,NaN,NaN,NaN,NaN,NaN,NaN
736708,NaN,NaN,NaN,NaN,NaN,NaN
736708.5,1582.5533504028,7.69619917426257,NaN,1582.5533504028,7.69619917426257,NaN
736709,1593.24651787097,3.88296549193569,NaN,1593.24651787097,3.88296549193569,NaN
736709.5,1641.51474284745,-9.69067078740909,NaN,1641.51474284745,-9.69067078740909,NaN
736710,1596.38539079945,-5.50745457264952,NaN,1596.38539079945,-5.50745457264952,NaN
736710.5,NaN,NaN,NaN,NaN,NaN,NaN
736711,1605.12132400037,8.09807332653872,NaN,1605.12132400037,8.09807332653872,NaN
736711.5,1601.19281781984,-3.59889852434139,NaN,1601.19281781984,-3.59889852434139,NaN
736712,1642.65855493517,1.92619832139485,NaN,1642.65855493517,1.92619832139485,NaN
