%Date etc_1_am etc_1_pm slope_1_am slope_1_pm  etc_2_am etc_2_pm slope_2_am slope_2_pm detc_1_am detc_1_pm dslope_1_am dslope_1_pm  detc_2_am detc_2_pm dslope_2_am dslope_2_p
736330.000000 1640.5    NaN  916.61     NaN 1640.5    NaN  916.61     NaN    27.5    NaN  918.29     NaN   27.5    NaN  918.29     NaN 
736332.000000 1606.5 1628.2  915.89  898.60 1606.5 1628.2  915.89  898.60    -1.6   17.8  915.07  898.65   -1.6   17.8  915.07  898.65 
736333.000000 1613.7 1616.9  873.64  878.07 1613.7 1616.9  873.64  878.07     3.8    4.8  873.65  879.27    3.8    4.8  873.65  879.27 
736336.000000 1599.1    NaN  882.54     NaN 1599.1    NaN  882.54     NaN   -10.8    NaN  882.51     NaN  -10.8    NaN  882.51     NaN 
736337.000000 1621.3    NaN  831.60     NaN 1621.3    NaN  831.60     NaN    10.0    NaN  832.21     NaN   10.0    NaN  832.21     NaN 
736339.000000 1577.7 1591.8  877.81  870.73 1577.7 1591.8  877.81  870.73   -35.0  -21.6  879.10  872.52  -35.0  -21.6  879.10  872.52 
736340.000000 1611.0 1635.0  849.73  834.30 1611.0 1635.0  849.73  834.30    -3.4   26.0  851.81  833.97   -3.4   26.0  851.81  833.97 
736341.000000    NaN 1615.9     NaN  872.77    NaN 1615.9     NaN  872.77     NaN    3.5     NaN  873.88    NaN    3.5     NaN  873.88 
736349.000000 1629.9    NaN  977.33     NaN 1629.9    NaN  977.33     NaN    26.0    NaN  974.61     NaN   26.0    NaN  974.61     NaN 
736351.000000 1640.5    NaN  881.89     NaN 1640.5    NaN  881.89     NaN    31.3    NaN  881.62     NaN   31.3    NaN  881.62     NaN 
736356.000000 1623.0    NaN  919.35     NaN 1623.0    NaN  919.35     NaN    13.3    NaN  919.16     NaN   13.3    NaN  919.16     NaN 
736360.000000 1621.7 1615.8  862.99  873.45 1621.7 1615.8  862.99  873.45    14.8    6.4  861.58  873.13   14.8    6.4  861.58  873.13 
736372.000000 1618.8    NaN  949.75     NaN 1618.8    NaN  949.75     NaN    11.6    NaN  948.21     NaN   11.6    NaN  948.21     NaN 
736375.000000 1611.7 1628.0  922.73  917.44 1611.7 1628.0  922.73  917.44     2.9   18.3  922.20  917.38    2.9   18.3  922.20  917.38 
736377.000000 1580.5    NaN  924.54     NaN 1580.5    NaN  924.54     NaN   -27.4    NaN  923.58     NaN  -27.4    NaN  923.58     NaN 
736390.000000 1600.0    NaN 1067.21     NaN 1600.0    NaN 1067.21     NaN   -12.4    NaN 1068.41     NaN  -12.4    NaN 1068.41     NaN 
736393.000000 1626.3    NaN  970.31     NaN 1626.3    NaN  970.31     NaN    18.5    NaN  969.40     NaN   18.5    NaN  969.40     NaN 
736396.000000 1602.6 1623.9 1058.55 1040.37 1602.6 1623.9 1058.55 1040.37    -6.0   14.8 1057.98 1040.01   -6.0   14.8 1057.98 1040.01 
736398.000000 1599.4    NaN 1156.82     NaN 1599.4    NaN 1156.82     NaN   -13.2    NaN 1155.96     NaN  -13.2    NaN 1155.96     NaN 
736400.000000 1599.7    NaN  977.70     NaN 1599.7    NaN  977.70     NaN   -14.9    NaN  977.24     NaN  -14.9    NaN  977.24     NaN 
