Diaj,ETC0,ND3,ND4,ETC0_cfg2,ND3_cfg2,ND4_cfg2
737240.5,NaN,NaN,NaN,NaN,NaN,NaN
737241,1600.63141644926,6.96496150689222,9.64240821423891,1605.73752143718,5.54953526433769,8.4363430866822
737241.5,NaN,NaN,NaN,NaN,NaN,NaN
737242,1612.93345907539,11.257601807861,15.0730479191029,1616.05294759782,10.2473561980808,13.2246730244647
737242.5,NaN,NaN,NaN,NaN,NaN,NaN
737243,1622.39394251286,4.62879236897675,9.33823674231485,1626.62591570978,3.89003549106906,7.50116580048325
737243.5,1612.85902508118,6.21535709480031,11.9683877996301,1612.85902508118,6.21535709480031,11.9683877996301
737244,1613.078409272,8.89174905114533,16.4294890899325,1615.09954275612,8.73516073989163,15.8145344096315
737244.5,1613.07722134841,10.9373344254536,NaN,1613.07722134841,10.9373344254536,NaN
737245,1619.90462618777,3.9919059534036,NaN,1621.96031041249,3.78928049579167,NaN
737245.5,1627.53531622329,4.11875601407701,NaN,1627.53531622329,4.11875601407701,NaN
737246,1620.40647925188,2.15174865153062,NaN,1622.22893034716,1.58580253073842,NaN
737246.5,NaN,NaN,NaN,NaN,NaN,NaN
737247,1595.63811019942,6.98717686968757,NaN,1597.44031375284,7.86733138456498,NaN
737247.5,NaN,NaN,NaN,NaN,NaN,NaN
737248,1610.10446076593,8.39121123877067,15.8262384913364,1611.49707731033,8.87504153219197,15.8458706204608
737248.5,NaN,NaN,NaN,NaN,NaN,NaN
737249,1626.53932213385,-0.507978705996948,NaN,1627.97494817023,-0.888900084980605,NaN
737249.5,NaN,NaN,NaN,NaN,NaN,NaN
737250,1615.31272276795,9.43824974606378,NaN,1616.81154753631,9.1506230476366,NaN
737250.5,NaN,NaN,NaN,NaN,NaN,NaN
737252,NaN,NaN,NaN,NaN,NaN,NaN
737252.5,1622.2834716564,0.27980080611178,NaN,1622.2834716564,0.27980080611178,NaN
737253,NaN,NaN,NaN,NaN,NaN,NaN
737253.5,1615.30212721112,7.38515309023364,8.6620523641825,1615.30212721112,7.38515309023364,8.6620523641825
